# Eva 完整型號索引（按需查詢用，Eva 收到型號詢問時才查，不塞進每則 prompt）
# 更新日期：2026-06-29
# 格式：品牌 | 型號

VS | JMZ-0429-120
VS | VSZ-03X
VS | VSZ-03X
VS | VSZ-03X
VS | VSZ-04X
VS | VSZ-04X
VS | VSZ-04X
VS | VSZ-05X
VS | VSZ-05X
VS | VSZ-05X
VS | VSZ-05X
VS | VSZ-07X
VS | VSZ-07X
VS | VSZ-07X
VS | VSZ-07X
VS | VSZ-M03X
VS | VSZ-M05X
VS | VSZ-M07X
VS | VSZ-M14X
VS | VSZ-M20X
VS | VSZ-M0108S
VS | VSZ-M0108S
VS | VSZ-M0108S
VS | VSZ-M0108S
VS | VSZ-M0108S
VS | VSZ-M0108S
VS | VSZ-M0324S
VS | VSZ-01304
VS | VSZ-0108
VS | VSZ-0108Ｓ
VS | VSZ-02520
VS | VSZ-03830
VS | VSZ-0540
VS | VSZ-0864
VS | VSZ-01304/2Ｘ
VS | VSZ-01304/3Ｘ
VS | VSZ-01304/4Ｘ
VS | VSZ-01304/6Ｘ
VS | VSZ-0108/2Ｘ
VS | VSZ-0108/3Ｘ
VS | VSZ-0108/4Ｘ
VS | VSZ-0108/6Ｘ
VS | VSZ-0864/05Ｘ
VS | VSZ-0864/2Ｘ
VS | VSZ-0864/3Ｘ
VS | VSZ-0310MP
VS | VSZ-00808
VS | VSZ-002
VS | VSZ-004
VS | VSZ-007
VS | VSZ-014
VS | VSZ-020
VS | VSZ-027
VS | VSZ-040
VS | VSZ-054
VS | 1:6 zoom for 2/3" format
VS | VSZ-02214
VS | VSZ-02818
VS | VSZ-04126
VS | VSZ-0745
VS | VSZ-0745
VS | VSZ-0745
VS | VSZ-0745
VS | VSZ-0745
VS | VSZ-0745
VS | VSZ-0745-MR
VS | VSZ-0745CO-MR
VS | Optional parts for 1:6 zoom
VS | VSZ-05/6X
VS | VSZ-075/6X
VS | VSZ-15/6X
VS | VSZ-20/6X
VS | VSZ-PL/6X
VS | VSZ-GA/6X
VS | VSZ-KD/6X
VS | VSZ-KD2/6X
VS | VS-L0104R-35/F
VS | VS-L0410R-35/F
VS | VS-L1020-35/F
VS | VS-L1020-35/F
VS | VS-L0104R-20/C
VS | VS-L0410R-20/C
VS | VS-L04509/F
VS | VS-L1020-20/C
VS | VS-L2.5-35/F
VS | VS-L3.0-35/F
VS | VS-L3.5-35/F
VS | VS-L4.0-35/F
VS | VS-L4.5-35/F
VS | VS-L2.5-20/C
VS | VS-L3.0-20/C
VS | VS-L3.5-20/C
VS | VS-L4.0-20/C
VS | VS-L4.5-20/C
VS | VS-L01014-35/F
VS | VS-L01014-35/F
VS | VS-L01014-20/C
VS | VS-L1828/F
VS | VS-L2526/F
VS | VS-L3528/F
VS | VS-L3528/F
VS | VS-L3528/F
VS | VS-L3528/F
VS | VS-L3528/F
VS | VS-L3528LM/F
VS | VS-L3528FL/F
VS | VS-L5018FL/F
VS | VS-L5028/F
VS | VS-L5028FL/F
VS | VS-L5028/F
VS | VS-L8540/F
VS | VS-L8540/F
VS | VS-L10028/F
VS | VS-L18556/F
VS | VS-LZ2035/F
VS | VS-LZ0510/F
VS | VS-EXR/F
VS | VS-L6035/V
VS | VS-L8540/V
VS | VS-8540-06/V
VS | VS-L12056-03/V
VS | VS-L12056-05/V
VS | VS-L12056-05/V
VS | VS-L12056-05/V + 延長筒(body tube)–
VS | VS-L12056-05/V-M72
VS | VS-L12056-05/V Lens Tube
VS | VS-L12056-075/V
VS | VS-CL12056-05/V
VS | VS-L12056-1/V
VS | VS-L12056-1/V
VS | VS-CL12056-075/V
VS | VS-CL12056-1/V
VS | VS-L12056-2/V
VS | VS-L12056-2/V用鏡筒
VS | VS-LH/V
VS | VS-LH/V2
VS | VS-FR20
VS | VS-FR32
VS | VS-MT-FB6.56
VS | VS-MT-FB9.4
